title,image_url,link_url,link_type,platform_name
Torus Trooper,http://www.asahi-net.or.jp/~cs8k-cyu/windows/tt_1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/windows/tt_e.html,detail,windows
Tumiki Fighters,http://www.asahi-net.or.jp/~cs8k-cyu/windows/tf_1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/windows/tf_e.html,detail,windows
rRootage,http://www.asahi-net.or.jp/~cs8k-cyu/windows/rr_1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/windows/rr_e.html,detail,windows
PARSEC47,http://www.asahi-net.or.jp/~cs8k-cyu/windows/p47_3.gif,http://www.asahi-net.or.jp/~cs8k-cyu/windows/p47_e.html,detail,windows
Noiz2sa,http://www.asahi-net.or.jp/~cs8k-cyu/windows/noiz2sa_1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/windows/noiz2sa_e.html,detail,windows
Gunroar,http://www.asahi-net.or.jp/~cs8k-cyu/windows/gr_1l.gif,http://www.asahi-net.or.jp/~cs8k-cyu/windows/gr_e.html,detail,windows
Titanion,http://www.asahi-net.or.jp/~cs8k-cyu/windows/ttn_1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/windows/ttn_e.html,detail,windows
Mu-cade,http://www.asahi-net.or.jp/~cs8k-cyu/windows/mcd_1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/windows/mcd_e.html,detail,windows
A7Xpg,http://www.asahi-net.or.jp/~cs8k-cyu/windows/a7xpg_1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/windows/a7xpg_e.html,detail,windows
Wok,http://www.asahi-net.or.jp/~cs8k-cyu/linux/wok_0.gif,http://www.asahi-net.or.jp/~cs8k-cyu/linux/wok_e.html,detail,windows
Suzuri,http://www.asahi-net.or.jp/~cs8k-cyu/free/szrview/szr_s2.gif,http://www.asahi-net.or.jp/~cs8k-cyu/free/suzuri.html,detail,windows
Masashikun Hi!,http://www.asahi-net.or.jp/~cs8k-cyu/free/masview/mas_kak_p.gif,http://www.asahi-net.or.jp/~cs8k-cyu/free/mas_e.html,detail,windows
Mazer Mayhem,http://www.asahi-net.or.jp/~cs8k-cyu/xna/mm/mm_0.gif,http://www.asahi-net.or.jp/~cs8k-cyu/xna/mm/index_e.html,detail,windows
GearToyGear,http://www.asahi-net.or.jp/~cs8k-cyu/xna/gtg/gtg_0_s.gif,http://www.asahi-net.or.jp/~cs8k-cyu/xna/gtg/index_e.html,detail,windows
THRUST LR,https://github.com/abagames/crisp-game-lib/raw/master/docs/thrustlr/screenshot.gif,https://abagames.github.io/crisp-game-lib/?thrustlr,play,browser
PHOTON LINE,https://github.com/abagames/crisp-game-lib/raw/master/docs/photonline/screenshot.gif,https://abagames.github.io/crisp-game-lib/?photonline,play,browser
PAIRS DROP,https://github.com/abagames/crisp-game-lib/raw/master/docs/pairsdrop/screenshot.gif,https://abagames.github.io/crisp-game-lib/?pairsdrop,play,browser
THROW M,https://github.com/abagames/crisp-game-lib/raw/master/docs/throwm/screenshot.gif,https://abagames.github.io/crisp-game-lib/?throwm,play,browser
